name,bh_ra,bh_dec,vvv_ra,vvv_dec,sep_arcsec,ks1_mag,ks1_mag_err,ks2_mag,ks2_mag_err,best_mag_for_ranking
SAX J1819.3-2525 V4641 Sgr,18:19:21.58,-25:24:25.10,18:19:22.65,-25:24:16.96,16.67128601688841,10.622552,0.31124878,,,10.622552
XTE J1550-564 V381 Nor,15:50:58.70,-56:28:35.20,15:50:58.44,-56:28:17.44,17.888601550025452,10.757507,0.24630937,,,10.757507
